# Captured 2020-02-08
# rtings.com list of all headphones.
# used in project deltaEQ

1More Piston Classic|headphones/1more/piston-classic
Bose Hearphones|headphones/bose/hearphones
Bose Noise Cancelling Headphones 700|headphones/bose/noise-cancelling-headphones-700
Bowers & Wilkins P5 S2|headphones/bowers-wilkins/p5-s2
Bowers & Wilkins P5 Wireless|headphones/bowers-wilkins/p5-wireless
Bowers & Wilkins P7|headphones/bowers-wilkins/p7
Bowers & Wilkins PX|headphones/bowers-wilkins/px
Bowers & Wilkins PX7|headphones/bowers-wilkins/px7
BÖHM B-66|headphones/bohm/b-66
Cambridge Audio Melomania 1|headphones/cambridge-audio/melomania-1
Corsair Void RGB|headphones/corsair/void-rgb
Corsair HS60|headphones/corsair/hs60
Corsair HS70 Wireless|headphones/corsair/hs70-wireless
Corsair HS50|headphones/corsair/hs50
Corsair Virtuoso RGB Wireless|headphones/corsair/virtuoso-rgb-wireless
Cougar Immersa|headphones/cougar/immersa
Cowin E7|headphones/cowin/e7
Cowin E7 Pro|headphones/cowin/e7-pro
Cowin E8|headphones/cowin/e8
Cowin SE7|headphones/cowin/se7
Creative Aurvana Gold|headphones/creative/aurvana-gold
Creative Aurvana Platinum|headphones/creative/aurvana-platinum
Creative HN-900|headphones/creative/hn-900
Creative Sound Blaster EVO ZxR|headphones/creative/sound-blaster-evo-zxr
Creative Sound BlasterX H5|headphones/creative/sound-blasterx-h5
Creative SXFI Air|headphones/creative/sxfi-air
Creative Outlier Air|headphones/creative/outlier-air
Denon AHGC20|headphones/denon/ahgc20
Diskin Wireless Bluetooth|headphones/diskin/wireless-bluetooth
Dolby Dimension|headphones/dolby/dimension
EarFun Free|headphones/earfun/free
Etymotic ER4XR|headphones/etymotic/er4xr
Etymotic HF5|headphones/etymotic/hf5
Fitbit Flyer|headphones/fitbit/flyer
Focal Elear|headphones/focal/elear
Focal Elegia|headphones/focal/elegia
Focal Stellia|headphones/focal/stellia
Google Pixel Buds|headphones/google/pixel-buds
Grado GW100|headphones/grado/gw100
Grado SR60e|headphones/grado/sr60e
Grado SR80e|headphones/grado/sr80e
Grado SR125e|headphones/grado/sr125e
Grado SR225e|headphones/grado/sr225e
Grado SR325e|headphones/grado/sr325e
Harman/Kardon NC|headphones/harman-kardon/nc
HiFiMan Edition X|headphones/hifiman/edition-x
HiFiMan HE-400i|headphones/hifiman/he-400i
HiFiMan Sundara|headphones/hifiman/sundara
HiFiMan Ananda|headphones/hifiman/ananda
HyperX Cloud II|headphones/hyperx/cloud-ii
HyperX Cloud Revolver|headphones/hyperx/cloud-revolver
HyperX Cloud Stinger|headphones/hyperx/cloud-stinger
HyperX Cloud Alpha|headphones/hyperx/cloud-alpha
HyperX Cloud Flight|headphones/hyperx/cloud-flight
HyperX Cloud Mix|headphones/hyperx/cloud-mix
HyperX Cloud Core|headphones/hyperx/cloud-core
JBL E50BT|headphones/jbl/e50bt
JBL Everest 110|headphones/jbl/everest-110
JBL Everest 310|headphones/jbl/everest-310
JBL Everest Elite 700 |headphones/jbl/everest-elite-700
JBL Everest 710|headphones/jbl/everest-710
JBL E55BT|headphones/jbl/e55bt
JBL E45BT|headphones/jbl/e45bt
JBL Free|headphones/jbl/free
JBL E25BT|headphones/jbl/e25bt
JBL Endurance Sprint|headphones/jbl/endurance-sprint
JBL T450BT|headphones/jbl/t450bt
JBL E65BTNC|headphones/jbl/e65btnc
JBL Reflect Mini 2|headphones/jbl/reflect-mini-2
JBL Endurance Peak|headphones/jbl/endurance-peak
JBL Free X|headphones/jbl/free-x
JBL Live 650BTNC|headphones/jbl/live-650btnc
JBL Endurance Dive|headphones/jbl/endurance-dive
JBL Live 200BT|headphones/jbl/live-200bt
JBL UA True Wireless Flash|headphones/jbl/ua-true-wireless-flash
JBL Live 500BT|headphones/jbl/live-500bt
JBL Live 400BT|headphones/jbl/live-400bt
JBL Tune 120|headphones/jbl/tune-120
JBL Reflect Flow|headphones/jbl/reflect-flow
JLab Audio JBuds Air|headphones/jlab-audio/jbuds-air
Jabra Elite 65t|headphones/jabra/elite-65t
Jabra Elite Sport|headphones/jabra/elite-sport
Jabra Elite 65e|headphones/jabra/elite-65e
Jabra Elite 25e|headphones/jabra/elite-25e
Jabra Elite Active 65t|headphones/jabra/elite-active-65t
Jabra Elite 45e|headphones/jabra/elite-45e
Jabra Evolve 65t|headphones/jabra/evolve-65t
Jabra Elite 85h|headphones/jabra/elite-85h
Jabra Elite Active 45e|headphones/jabra/elite-active-45e
Jabra Elite 75t|headphones/jabra/elite-75t
Jaybird X2|headphones/jaybird/x2
Jaybird X3|headphones/jaybird/x3
Jaybird Freedom|headphones/jaybird/freedom
Jaybird Run|headphones/jaybird/run
Jaybird Run XT|headphones/jaybird/run-xt
Jaybird Freedom 2|headphones/jaybird/freedom-2
Jaybird X4|headphones/jaybird/x4
Jaybird Tarah|headphones/jaybird/tarah
Jaybird Tarah Pro|headphones/jaybird/tarah-pro
Jaybird Vista|headphones/jaybird/vista
KZ ZS-10|headphones/kz/zs-10
KZ AS-10|headphones/kz/as-10
KZ ZSN|headphones/kz/zsn
KZ ZST|headphones/kz/zst
Klipsch T5 True Wireless|headphones/klipsch/t5-true-wireless
Koss KSC75|headphones/koss/ksc75
Koss Porta Pro |headphones/koss/porta-pro
Koss QZ900|headphones/koss/qz900
Koss QZPro|headphones/koss/qzpro
Koss UR-20|headphones/koss/ur-20
Koss Porta Pro Wireless|headphones/koss/porta-pro-wireless
Logitech G430|headphones/logitech/g430
Logitech G432|headphones/logitech/g432
Logitech G433|headphones/logitech/g433
Logitech G533|headphones/logitech/g533
Logitech G635|headphones/logitech/g635
Logitech G930|headphones/logitech/g930
Logitech G933|headphones/logitech/g933
Logitech G935|headphones/logitech/g935
Logitech G Pro|headphones/logitech/g-pro
Logitech G Pro X|headphones/logitech/g-pro-x
LucidSound LS31|headphones/lucidsound/ls31
MEE audio M6|headphones/mee-audio/m6
MEE audio M6 PRO|headphones/mee-audio/m6-pro
MEE audio X6 Plus|headphones/mee-audio/x6-plus
MEE audio X7|headphones/mee-audio/x7
MEE audio M9B|headphones/mee-audio/m9b
Marshall Major II|headphones/marshall/major-ii
Marshall MID ANC|headphones/marshall/mid-anc
Microsoft Surface Headphones|headphones/microsoft/surface-headphones
Mixcder E9|headphones/mixcder/e9
Monoprice Enhanced Active|headphones/monoprice/enhanced-active
Monoprice Noise Cancelling|headphones/monoprice/noise-cancelling
Monster Inspiration|headphones/monster/inspiration
Mpow Bluetooth Over-Ear|headphones/mpow/bluetooth-over-ear
Mpow Jaws|headphones/mpow/jaws
Mpow H5|headphones/mpow/h5
Mpow H10|headphones/mpow/h10
NAD VISO HP50|headphones/nad/viso-hp50
Noontec Hammo Go|headphones/noontec/hammo-go
Nura Nuraphone|headphones/nura/nuraphone
Oppo PM-3|headphones/oppo/pm-3
Panasonic RP-HC56|headphones/panasonic/rp-hc56
Panasonic RP-HC101|headphones/panasonic/rp-hc101
Panasonic RP-HC200|headphones/panasonic/rp-hc200
Panasonic RP-HC800|headphones/panasonic/rp-hc800
Panasonic RP-HJE120|headphones/panasonic/rp-hje120
Parrot Zik 2.0|headphones/parrot/zik-2-0
Parrot Zik 3.0|headphones/parrot/zik-3-0
Philips Fidelio NC1|headphones/philips/fidelio-nc1
Philips SHP9500|headphones/philips/shp9500
Plane Quiet Platinum|headphones/plane-quiet/platinum
Plantronics Backbeat Pro|headphones/plantronics/backbeat-pro
Plantronics BackBeat Pro 2|headphones/plantronics/backbeat-pro-2
Plantronics RIG 800LX|headphones/plantronics/rig-800lx
Plantronics BackBeat Go 600|headphones/plantronics/backbeat-go-600
Plantronics Backbeat Go 810|headphones/plantronics/backbeat-go-810
Plantronics BackBeat Fit|headphones/plantronics/backbeat-fit
Polk Audio Buckle|headphones/polk-audio/buckle
Polk Audio UltraFocus 8000|headphones/polk-audio/ultrafocus-8000
RHA TrueConnect|headphones/rha/trueconnect
Raycon E25|headphones/raycon/e25
Raycon E50|headphones/raycon/e50
Raycon E55|headphones/raycon/e55
Raycon E100|headphones/raycon/e100
Razer Kraken USB|headphones/razer/kraken-usb
Razer Kraken Pro V2|headphones/razer/kraken-pro-v2
Razer Kraken Tournament Edition|headphones/razer/kraken-tournament-edition
Razer Man O&#39; War |headphones/razer/man-o-war
Razer Nari Ultimate|headphones/razer/nari-ultimate
Razer Kraken X|headphones/razer/kraken-x
Razer Hammerhead True Wireless|headphones/razer/hammerhead-true-wireless
Rovking V1|headphones/rovking/v1
SENSO ActivBuds S-250|headphones/senso/activbuds-s-250
SMS Audio STREET by 50 Active Noise Cancelling|headphones/sms-audio/street-by-50-active-noise-cancelling
Sabbat E12|headphones/sabbat/e12
Samsung Level On Wireless|headphones/samsung/level-on-wireless
Samsung Level Over Wireless|headphones/samsung/level-over-wireless
Samsung Level U Pro|headphones/samsung/level-u-pro
Samsung Gear IconX|headphones/samsung/gear-iconx
Samsung Galaxy Buds|headphones/samsung/galaxy-buds
Samsung U Flex|headphones/samsung/u-flex
Sennheiser CXC-700|headphones/sennheiser/cxc-700
Sennheiser Game One|headphones/sennheiser/game-one
Sennheiser HD1 In-Ear Wireless|headphones/sennheiser/hd1-in-ear-wireless
Sennheiser HD 4.50|headphones/sennheiser/hd-4-50
Sennheiser HD 201|headphones/sennheiser/hd-201
Sennheiser HD 202 II|headphones/sennheiser/hd-202-ii
Sennheiser HD 280 Pro|headphones/sennheiser/hd-280-pro
Sennheiser HD 518|headphones/sennheiser/hd-518
Sennheiser HD 598|headphones/sennheiser/hd-598
Sennheiser HD 598 Cs|headphones/sennheiser/hd-598-cs
Sennheiser HD 599|headphones/sennheiser/hd-599
Sennheiser HD 600|headphones/sennheiser/hd-600
